affiliationName,researchers,collaborators
Shanghai Jiao Tong University,4,http://example.org/resource/author/38735298; http://example.org/resource/author/79494403; http://example.org/resource/author/2144908858; http://example.org/resource/author/144248374
Beijing Institute of Technology,2,http://example.org/resource/author/2298857218; http://example.org/resource/author/144843219
Adobe Research,2,http://example.org/resource/author/2462276; http://example.org/resource/author/145262461
University of Rochester,2,http://example.org/resource/author/33642939; http://example.org/resource/author/145585312
"1 Department of Public Health and Primary Care, Centre for Biomedical Ethics and Law, University of Leuven, Leuven, Belgium .",2,http://example.org/resource/author/37402205; http://example.org/resource/author/14756295
University of Potsdam,2,http://example.org/resource/author/2045980201; http://example.org/resource/author/1683688
Zhejiang University,2,http://example.org/resource/author/2109584311; http://example.org/resource/author/1694815
University of Oregon,2,http://example.org/resource/author/35539899; http://example.org/resource/author/1811211
University of Oxford,2,http://example.org/resource/author/2536934; http://example.org/resource/author/2146147410
"Computer Engineering and Informatics Department, University of Patras",2,http://example.org/resource/author/2156929752; http://example.org/resource/author/2156928873
University of Manchester,2,http://example.org/resource/author/145229872; http://example.org/resource/author/2165227439
Seoul National University,2,http://example.org/resource/author/3091593; http://example.org/resource/author/2575874
Heriot-Watt University,2,http://example.org/resource/author/1389544608; http://example.org/resource/author/2621022
University of the Basque Country UPV/EHU,2,http://example.org/resource/author/1453724884; http://example.org/resource/author/3242916
German Research Center for Artificial Intelligence (DFKI),2,http://example.org/resource/author/46323254; http://example.org/resource/author/36943315
IVORC,2,http://example.org/resource/author/3506888; http://example.org/resource/author/6143981
